"KO","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reference","tax","description"
"ko:K00031",3239.46500818665,0.109228704343321,0.0280196680125068,3.8982868852895,9.68756057189779e-05,0.00752570494953744,"k87_19271_4","COG0538@1|root,COG0538@2|Bacteria,1MUIB@1224|Proteobacteria,2TQWD@28211|Alphaproteobacteria,2K05F@204457|Sphingomonadales","Belongs to the isocitrate and isopropylmalate dehydrogenases family"
"ko:K00031",3239.46500818665,0.109228704343321,0.0280196680125068,3.8982868852895,9.68756057189779e-05,0.00752570494953744,"k87_253787_2","COG0538@1|root,COG0538@2|Bacteria,1MUIB@1224|Proteobacteria,2TQWD@28211|Alphaproteobacteria,3EXZR@335928|Xanthobacteraceae","Isocitrate/isopropylmalate dehydrogenase"
"ko:K00031",3239.46500818665,0.109228704343321,0.0280196680125068,3.8982868852895,9.68756057189779e-05,0.00752570494953744,"k87_347223_3","COG0473@1|root,arCOG01163@2157|Archaea,41S5U@651137|Thaumarchaeota","Isocitrate isopropylmalate dehydrogenase"
"ko:K00031",3239.46500818665,0.109228704343321,0.0280196680125068,3.8982868852895,9.68756057189779e-05,0.00752570494953744,"k87_416998_5","COG2838@1|root,COG2838@2|Bacteria,1MV6Q@1224|Proteobacteria,1RPG4@1236|Gammaproteobacteria,1X3M6@135614|Xanthomonadales","NADP-specific, catalyzes the formation of 2-oxoglutarate from isocitrate or oxalosuccinate"
"ko:K00031",3239.46500818665,0.109228704343321,0.0280196680125068,3.8982868852895,9.68756057189779e-05,0.00752570494953744,"k87_446090_2","COG0538@1|root,COG0538@2|Bacteria,1MW3J@1224|Proteobacteria,2VHVD@28216|Betaproteobacteria,2KUTI@206389|Rhodocyclales","Isocitrate/isopropylmalate dehydrogenase"
"ko:K00031",3239.46500818665,0.109228704343321,0.0280196680125068,3.8982868852895,9.68756057189779e-05,0.00752570494953744,"k87_461965_1","COG0538@1|root,COG0538@2|Bacteria,2GM3D@201174|Actinobacteria","Belongs to the isocitrate and isopropylmalate dehydrogenases family"
"ko:K00031",3239.46500818665,0.109228704343321,0.0280196680125068,3.8982868852895,9.68756057189779e-05,0.00752570494953744,"k87_583431_1","COG2838@1|root,COG2838@2|Bacteria","Isocitrate dehydrogenase"
"ko:K00031",3239.46500818665,0.109228704343321,0.0280196680125068,3.8982868852895,9.68756057189779e-05,0.00752570494953744,"k87_584240_1","COG2838@1|root,COG2838@2|Bacteria,1MV6Q@1224|Proteobacteria,1RPG4@1236|Gammaproteobacteria,464R6@72275|Alteromonadaceae","Isocitrate dehydrogenase"
"ko:K00031",3239.46500818665,0.109228704343321,0.0280196680125068,3.8982868852895,9.68756057189779e-05,0.00752570494953744,"k87_821303_2","COG0538@1|root,COG0538@2|Bacteria,2GM3D@201174|Actinobacteria","Belongs to the isocitrate and isopropylmalate dehydrogenases family"
"ko:K00031",3239.46500818665,0.109228704343321,0.0280196680125068,3.8982868852895,9.68756057189779e-05,0.00752570494953744,"k87_942087_1","COG2838@1|root,COG2838@2|Bacteria,2GJ1C@201174|Actinobacteria,4EBXI@85010|Pseudonocardiales","Monomeric isocitrate dehydrogenase"
"ko:K00031",3239.46500818665,0.109228704343321,0.0280196680125068,3.8982868852895,9.68756057189779e-05,0.00752570494953744,"k87_946606_1","COG2838@1|root,COG2838@2|Bacteria,2GJ1C@201174|Actinobacteria,4FFA1@85021|Intrasporangiaceae","NADP-specific, catalyzes the formation of 2-oxoglutarate from isocitrate or oxalosuccinate"
