"Subject","Factor","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reference","tax","description","KO","percent","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","counts_25_CT_Ext_C1_2020","counts_26_CT_Ext_C2_2020","counts_27_CT_Ext_C3_2020","counts_28_CT_Ext_C4_2020","counts_41_CT_Ext_I1_2020","counts_42_CT_Ext_I2_2020","counts_43_CT_Ext_I3_2020","counts_44_CT_Ext_I4_2020","counts_M09_CT_Ext_C1_2021","counts_M10_CT_Ext_C2_2021","counts_M11_CT_Ext_C3_2021","counts_M12_CT_Ext_C4_2021","counts_M25_CT_Ext_I1_2021","counts_M26_CT_Ext_I2_2021","counts_M27_CT_Ext_I3_2021","counts_M28_CT_Ext_I4_2021","counts_M33_CT_Ext_C1_2022","counts_M34_CT_Ext_C2_2022","counts_M35_CT_Ext_C3_2022","counts_M36_CT_Ext_C4_2022","counts_M37_CT_Ext_I1_2022","counts_M38_CT_Ext_I2_2022","counts_M39_CT_Ext_I3_2022","counts_M40_CT_Ext_I4_2022"
"PGPT0000645","glnA",2973.2366977377,0.170933262771941,0.0326952174354454,5.22808154157219,1.71277973504989e-07,0.000388458443909315,"k87_98488_1","COG0174@1|root,COG0174@2|Bacteria,1NZU7@1224|Proteobacteria,2TS0B@28211|Alphaproteobacteria,43HFK@69277|Phyllobacteriaceae","glutamine synthetase","ko:K01915",91.9,346,28,0,1,1038,1,346,6e-198,694.9,20,24,20,16,19,18,14,22,22,22,16,14,12,16,18,18,18,23,22,18,24,12,27,26
"PGPT0000645","glnA",2973.2366977377,0.170933262771941,0.0326952174354454,5.22808154157219,1.71277973504989e-07,0.000388458443909315,"k87_5866775_1","COG0174@1|root,COG0174@2|Bacteria,1MU6V@1224|Proteobacteria,2TRCP@28211|Alphaproteobacteria,43H1R@69277|Phyllobacteriaceae","glutamine synthetase","ko:K01915",97.5,118,1,1,1,348,1,118,2.2e-59,233,12,10,9,4,10,14,5,12,1,10,11,2,12,12,5,9,10,6,8,23,20,9,18,17
"PGPT0000645","glnA",2973.2366977377,0.170933262771941,0.0326952174354454,5.22808154157219,1.71277973504989e-07,0.000388458443909315,"k87_4470293_2","COG0174@1|root,COG0174@2|Bacteria,2GMN1@201174|Actinobacteria,4FW9S@85025|Nocardiaceae","glutamine synthetase","ko:K01915",95,202,10,0,1,606,1,202,1.5e-108,397.1,36,29,28,29,36,18,44,27,21,39,29,39,31,25,25,30,30,48,24,47,36,38,29,43
"PGPT0000645","glnA",2973.2366977377,0.170933262771941,0.0326952174354454,5.22808154157219,1.71277973504989e-07,0.000388458443909315,"k87_635903_3","COG0174@1|root,COG0174@2|Bacteria,1NZU7@1224|Proteobacteria,2TS0B@28211|Alphaproteobacteria,4B9NF@82115|Rhizobiaceae","glutamine synthetase","ko:K01915",94.8,154,8,0,1,462,1,154,1.2e-84,317.4,30,27,13,30,26,30,28,27,36,37,37,16,14,12,26,34,30,37,30,44,41,48,43,44
"PGPT0000645","glnA",2973.2366977377,0.170933262771941,0.0326952174354454,5.22808154157219,1.71277973504989e-07,0.000388458443909315,"k87_5895768_1","COG0174@1|root,COG0174@2|Bacteria,1MUGQ@1224|Proteobacteria,2VHYE@28216|Betaproteobacteria,4AAV7@80864|Comamonadaceae","TIGRFAM glutamine synthetase, type I","ko:K01915,ko:K20712",95.7,141,6,0,1,423,1,141,8.4e-74,281.2,31,15,14,23,38,20,26,27,46,35,35,38,33,28,29,20,26,15,32,21,26,24,24,43
"PGPT0000645","glnA",2973.2366977377,0.170933262771941,0.0326952174354454,5.22808154157219,1.71277973504989e-07,0.000388458443909315,"k87_3478856_5","COG0174@1|root,COG0174@2|Bacteria,2GM3K@201174|Actinobacteria,233C3@1762|Mycobacteriaceae","glutamine synthetase","ko:K01915",90.9,449,41,0,1,1347,4,452,3.6e-243,845.5,51,47,44,53,66,67,35,78,65,64,56,37,62,43,49,50,63,42,60,69,61,50,65,82
"PGPT0000645","glnA",2973.2366977377,0.170933262771941,0.0326952174354454,5.22808154157219,1.71277973504989e-07,0.000388458443909315,"k87_3855261_4","COG0174@1|root,COG0174@2|Bacteria,1MUGQ@1224|Proteobacteria,2WFJM@28216|Betaproteobacteria,4AD19@80864|Comamonadaceae","Glutamine synthetase, catalytic domain","ko:K01915",90.8,163,15,0,1,489,295,457,7.9e-84,314.7,35,14,23,29,21,35,31,30,47,32,40,27,27,21,28,19,22,32,22,20,28,28,32,22
"PGPT0000645","glnA",2973.2366977377,0.170933262771941,0.0326952174354454,5.22808154157219,1.71277973504989e-07,0.000388458443909315,"k87_6883567_3","COG0174@1|root,COG0174@2|Bacteria,1MUGQ@1224|Proteobacteria,2VHYE@28216|Betaproteobacteria,1KJNG@119065|unclassified Burkholderiales","glutamine synthetase","ko:K01915,ko:K20712",93.3,75,5,0,1,225,398,472,4.9e-36,154.8,21,16,21,10,28,24,20,14,40,34,23,21,26,21,34,26,26,20,39,18,20,23,29,30
"PGPT0000645","glnA",2973.2366977377,0.170933262771941,0.0326952174354454,5.22808154157219,1.71277973504989e-07,0.000388458443909315,"k87_5174670_1","COG0174@1|root,COG0174@2|Bacteria,1MUGQ@1224|Proteobacteria,2VHYE@28216|Betaproteobacteria,4AAV7@80864|Comamonadaceae","TIGRFAM glutamine synthetase, type I","ko:K01915,ko:K20712",99.7,290,1,0,1,870,1,290,6.1e-172,608.2,84,83,29,53,88,71,60,55,112,144,121,95,73,81,85,87,77,65,106,88,77,100,93,97
"PGPT0000645","glnA",2973.2366977377,0.170933262771941,0.0326952174354454,5.22808154157219,1.71277973504989e-07,0.000388458443909315,"k87_6368024_1","COG0174@1|root,COG0174@2|Bacteria,1NZU7@1224|Proteobacteria,2TS0B@28211|Alphaproteobacteria,4B9NF@82115|Rhizobiaceae","glutamine synthetase","ko:K01915",93.6,172,11,0,1,516,175,346,5.2e-94,348.6,61,54,41,40,49,54,46,38,45,37,39,30,54,50,48,39,59,39,55,54,68,45,40,59
